rank,athlete,best_sprint_time,race,date,score
1,"Matthew Carroll","01:09:48","Pulse Port Beach - Triathlon National Series","20th Sep 2025","785.21"
2,"Philip Sheridan","01:12:04","Tri795 Triathlon - Triathlon National Series","26th May 2024","750.69"
3,"Ciarán Reynolds","01:14:19","TriLaois","12th Apr 2025","760.99"
4,"Darragh Ryan","01:15:12","Carrick-on-Suir Sprint Triathlon","27th Jul 2025","659.27"
5,"Andy Mc Namara","01:18:09","Lough Ree Monster Triathlon","6th Sep 2025","633.40"
6,"Daniel Eckersall","01:19:04","TriLaois","12th Apr 2025","715.27"
7,"Ross Murphy","01:25:37","TriLaois","12th Apr 2025","660.55"
8,"Arron Murphy","01:37:44","Pulse Port Beach - Irish National Series","28th Sep 2024","571.11"
9,"Brian Smyth","01:39:53","TriLaois","12th Apr 2025","566.20"
